state,state_code,dayspostlegal,distance,income,legal,month,ppg,quality_score,quantity,year
Colorado,8,-230,2230.3601,46402,0,3,4.409244999999999,3,28.349524,2012
Colorado,8,6,2343.937,46402,1,11,12.345886,3,28.349524,2012
Colorado,8,-53,2343.937,46402,0,9,11.287666999999999,2,3.5436904,2012
Colorado,8,-164,2343.937,46402,0,5,9.876709,2,3.5436904,2012
Colorado,8,-40,1968.8879,46402,0,9,3.5273962,2,28.349524,2012
Colorado,8,-116,2343.937,46402,0,7,9.876709,3,3.5436904,2012
Colorado,8,41,2343.937,46402,1,12,14.109585000000001,3,28.349524,2012
Colorado,8,-287,2343.937,46402,0,1,2.8219168,2,14.174762,2012
Colorado,8,23,2220.031,46402,1,11,1.7636981,2,28.349524,2012
Colorado,8,19,2268.8831,46402,1,11,10.582189,3,28.349524,2012
Colorado,8,-144,2203.4199,46402,0,6,10.021011,3,4.9895163,2012
Colorado,8,-193,2444.1411,46402,0,4,9.992624300000001,2,10.007381,2012
Colorado,8,-119,2343.937,46402,0,7,5.2910943,3,28.349524,2012
Colorado,8,-196,2343.937,46402,0,4,21.164376999999998,3,28.349524,2012
Colorado,8,-247,2343.937,46402,0,2,1.0006796999999998,2,19.986414,2012
Colorado,8,-128,2443.0171,46402,0,6,14.109585000000001,2,7.087380900000001,2012
Colorado,8,-22,2343.937,46402,0,10,3.5273962,2,28.349524,2012
Colorado,8,15,2162.062,46402,1,11,5.2910943,2,28.349524,2012
Colorado,8,-124,2343.937,46402,0,6,6.3493133,3,28.349524,2012
Colorado,8,-11,2382.1731,46402,0,10,7.0547924,3,7.087380900000001,2012
Colorado,8,-117,2339.0271,46402,0,7,8.4657507,3,3.5436904,2012
Colorado,8,59,2343.937,46402,1,12,7.0547924,3,28.349524,2012
Colorado,8,-163,2390.4519,46402,0,5,8.4657507,2,3.5436904,2012
Colorado,8,-117,2337.2581,46402,0,7,5.6438336,2,28.349524,2012
Colorado,8,51,2323.335,46402,1,12,1.0006796999999998,2,19.986414,2012
Colorado,8,-287,2281.4741,46402,0,1,9.700339300000001,2,28.349524,2012
Colorado,8,40,2343.937,46402,1,12,1.0582188,2,28.349524,2012
